SubjNum,Age,Gender,Condition,Condition_HardBase,Condition_ImpossibleBase,TrialNumber,TrialNumber_AsFactor,TimeTrying,TimeTrying_sqrt,MaxPSI,MaxPSI_sqrt,HelpSeekingNum_exp,HelpSeekingNum_exp_avg,HelpSeekingRate_exp_avg,HelpSeekingRate_Recovery,NumAffectFrames,TotalPosFrames,TotalNegFrames,NumHints_Recovery
104,19.1,F,Easy,Easy,Easy,2,2,13.906,4.889376238,4.597,3.820602047,1,0.333333333,0.01666667,0.065505044,28,0,2,0
104,19.1,F,Easy,Easy,Easy,3,3,2.176,3.489412558,2.448,3.528172331,0,0.333333333,0.01666667,0.065505044,NA,NA,NA,0
105,18.9,M,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,0,0,0.014018954,NA,NA,NA,4
105,18.9,M,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,0,0,0,0.014018954,NA,NA,NA,4
105,18.9,M,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,0,0,0,0.014018954,NA,NA,NA,4
106,18.2,F,Impossible,Impossible,Impossible,1,1,6.978,4.12043687,0.433,3.23001548,0,0,0,0,16,10,0,0
106,18.2,F,Impossible,Impossible,Impossible,2,2,3.094,3.618563251,1.006,3.317529201,0,0,0,0,6,0,0,0
106,18.2,F,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,0
107,18.97,M,Easy,Easy,Easy,1,1,7.854,4.225399389,3.683,3.699053933,0,0,0,0,16,1,1,7
107,18.97,M,Easy,Easy,Easy,2,2,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,7
107,18.97,M,Easy,Easy,Easy,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,7
108,18.97,F,Hard,Hard,Hard,1,1,8.908,4.348333014,4.662,3.829099111,0,0,0,0,18,0,6,0
108,18.97,F,Hard,Hard,Hard,2,2,0.952,3.309380607,2.973,3.601805103,0,0,0,0,2,0,0,0
108,18.97,F,Hard,Hard,Hard,3,3,1.674,3.416723577,2.683,3.56131998,0,0,0,0,5,3,0,0
114,18.27,M,Hard,Hard,Hard,1,1,10.336,4.509545432,1.266,3.356486258,0,0,0,0,22,11,1,0
114,18.27,M,Hard,Hard,Hard,2,2,4.964,3.868332974,1.352,3.369272919,0,0,0,0,15,4,7,0
114,18.27,M,Hard,Hard,Hard,3,3,3.434,3.665242148,0.849,3.293782021,0,0,0,0,NA,NA,NA,0
117,18.73,M,Easy,Easy,Easy,1,1,0,3.16227766,NA,NA,4,NA,NA,0.050405766,NA,NA,NA,1
117,18.73,M,Easy,Easy,Easy,2,2,5.78,3.972404813,4.555,3.815101571,NA,NA,NA,0.050405766,13,1,0,1
117,18.73,M,Easy,Easy,Easy,3,3,1.428,3.380532502,0.006,3.163226201,4,NA,NA,0.050405766,3,3,0,1
118,18.93,M,Hard,Hard,Hard,1,1,10.2,4.494441011,1.944,3.456009259,0,0,0,0,22,4,3,0
118,18.93,M,Hard,Hard,Hard,2,2,7.242,4.152348733,1.108,3.332866634,0,0,0,0,16,13,0,0
118,18.93,M,Hard,Hard,Hard,3,3,5.712,3.963836525,2.123,3.481809874,0,0,0,0,13,7,1,0
119,18.63,M,Impossible,Impossible,Impossible,1,1,8.5,4.301162634,1.214,3.348731103,1,2,0.1,NA,18,0,0,2
119,18.63,M,Impossible,Impossible,Impossible,2,2,4.93,3.863935817,1.236,3.35201432,1,2,0.1,NA,12,0,6,2
119,18.63,M,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,4,2,0.1,NA,NA,NA,NA,2
122,18.67,F,Easy,Easy,Easy,1,1,3.06,3.6138622,0.334,3.214653947,1,2.333333333,0.11666667,NA,7,0,0,1
122,18.67,F,Easy,Easy,Easy,2,2,1.054,3.32475563,0.456,3.233573874,NA,2.333333333,0.11666667,NA,3,0,0,1
122,18.67,F,Easy,Easy,Easy,3,3,4.556,3.815232627,1.369,3.371794774,1,2.333333333,0.11666667,NA,9,0,0,1
124,18.83,F,Impossible,Impossible,Impossible,1,1,7.65,4.201190308,0.107,3.17915083,0,0,0,0,16,5,0,2
124,18.83,F,Impossible,Impossible,Impossible,2,2,3.74,3.706750599,1.829,3.43933133,0,0,0,0,8,0,0,2
124,18.83,F,Impossible,Impossible,Impossible,3,3,2.108,3.479655155,2.519,3.538219891,0,0,0,0,3,0,0,2
125,18.8,F,Easy,Easy,Easy,1,1,8.33,4.281354926,3.022,3.608600837,0,0.333333333,0.01666667,0,18,8,3,2
125,18.8,F,Easy,Easy,Easy,2,2,0,3.16227766,NA,NA,1,0.333333333,0.01666667,0,NA,NA,NA,2
125,18.8,F,Easy,Easy,Easy,3,3,0,3.16227766,NA,NA,0,0.333333333,0.01666667,0,NA,NA,NA,2
126,18.1,M,Hard,Hard,Hard,1,1,16.626,5.16003876,5.682,3.960050505,0,0.666666667,0.03333333,0,32,4,2,0
126,18.1,M,Hard,Hard,Hard,2,2,9.588,4.425833255,4.925,3.863288754,0,0.666666667,0.03333333,0,18,5,1,0
126,18.1,M,Hard,Hard,Hard,3,3,5.712,3.963836525,2.747,3.570294106,2,0.666666667,0.03333333,0,13,1,5,0
127,18.23,M,Hard,Hard,Hard,1,1,13.982,4.897142024,0.805,3.287095983,0,0.666666667,0.03333333,0,33,0,0,0
127,18.23,M,Hard,Hard,Hard,2,2,4.046,3.747799354,3.568,3.683476619,1,0.666666667,0.03333333,0,9,3,2,0
127,18.23,M,Hard,Hard,Hard,3,3,12.52,4.745524207,5.911,3.988859486,1,0.666666667,0.03333333,0,25,4,4,0
128,18.77,M,Easy,Easy,Easy,1,1,6.766,4.09463063,7.218,4.149457796,0,1.666666667,0.08333333,0.049563838,14,0,0,0
128,18.77,M,Easy,Easy,Easy,2,2,3.774,3.711333992,9.711,4.439707198,2,1.666666667,0.08333333,0.049563838,8,0,0,0
128,18.77,M,Easy,Easy,Easy,3,3,7.038,4.12771123,5.944,3.992993864,3,1.666666667,0.08333333,0.049563838,13,0,0,0
130,18.97,M,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,0
130,18.97,M,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,0
130,18.97,M,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,0
